Customer Number_x,Account Name,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude,Exception Report
15322,Western University of Health Sciences,93-R-0464,Class R - Research Facility,Active,,309 East Second Street,,"Pomona, CA 91766",Los Angeles,15322,2024,,,,20.0,,,,18.0,,,34.058043,-117.747882,False
15690,WuXi AppTec Inc. (NAMSA),41-R-0061,Class R - Research Facility,Active,,2540 EXECUTIVE DRIVE,,"SAINT PAUL, MN 55120",Ramsey,15690,2024,,,12747.0,,1838.0,,,,,,44.86394,-93.155383,False
15933,Nova Southeastern University (CENTER FOR COLLABORATIVE RESEARCH CCR),58-R-0165,Class R - Research Facility,Active,,3301 COLLEGE AVE,,"FORT LAUDERDALE, FL 33314",Broward,15933,2024,,,8.0,,,,,,,,26.078805,-80.240139,False
16855,Alamogordo Primate Facility,85-F-0003,Class F - Federal Research Facility,Active,,"BOX 956, NEW MEXICO AVENUE",,"HOLLOMAN AFB, NM 88330",Otero,16855,2024,,,,,,,,,,,32.836613,-106.077384,False
16889,Frostburg State University,51-R-0086,Class R - Research Facility,Active,,101 Braddock Road,,"Frostburg, MD 21532",Allegany,16889,2024,,,,,,,,,,,39.64904,-78.933993,False
17184,Neotech LLC,63-R-0116,Class R - Research Facility,Active,,10061 HWY 22,,"DRESDEN, TN 38225",Weakley,17184,2024,4.0,,,,,,,,,,36.296794,-88.74621,False
17782,Northwest Center For Medical Education,32-R-0041,Class R - Research Facility,Active,,3400 BROADWAY,,"GARY, IN 46408",Lake,17782,2024,,,,,,,,,,,41.556226,-87.338131,False
18033,Ogeechee Technical College,57-R-0127,Class R - Research Facility,Active,,ONE JOE KENNEDY BLVD,,"STATESBORO, GA 30458",Bulloch,18033,2024,38.0,34.0,,,5.0,,,,,,32.395356,-81.818875,False
18136,Mc Lennan Community College,74-R-0177,Class R - Research Facility,Active,,1400 COLLEGE DRIVE,,"WACO, TX 76708",McLennan,18136,2024,13.0,7.0,,,3.0,,,,19.0,,31.590002,-97.17487,False
18374,Alfred State College,21-R-0228,Class R - Research Facility,Active,,10 UPPER CAMPUS DR,,"ALFRED, NY 14802",Allegany,18374,2024,14.0,43.0,,,,,,,,,42.25424,-77.79055,False
