establishment_id,establishment_name,street,city,state,zip,latitude,longitude,type,slaughter,animals_slaughtered_list,animals_processed_list,phone,grant_date,dbas,slaughter_volume_category,processing_volume_category
NZHN01/01,1839 Limited,"74 Paerangi Place, Tauriko",Tauranga,Tauranga City Council,,-37.7518617,176.0938473,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,Bee products,,2022-10-25,,,
NZHNWH1/01,NZ Health Naturally Limited,"50C Matakana Valley Road, Matakana",Auckland,Auckland Council,,-36.3505534,174.7157774,Risk Management Programme - Bee products - Bulk honey storage,No,,Bee products,,2014-04-07,,,
NZM2/01,New Zealand Manuka Limited,"525B State Highway 30, RD 1",Whakatane,Whakatane District Council,,0.0,0.0,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Honey",,2021-01-14,,,
NZM4/01,New Zealand Manuka Limited,325 Otakiri Road,Edgecumbe,Whakatane District Council,,-37.9852791,176.8165086,Risk Management Programme - Bee products - Bulk honey storage,No,,Bee products,,2020-01-29,,,
NZMP1/01,NZ Meat Processors Limited,"5264 State Highway 26, RD 2",Te Aroha,Matamata-Piako District Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Chickens, Fish, Layer hens, Poultry, Wild deer, Wild goats, Wild possums, Wild rabbits/hares, Wild wallabies",,2023-03-28,,,
NZMP3/01,NZ Meat Processors Limited,"360 Ngati Maru Highway, Kopu",Thames,Thames-Coromandel District Council,,-37.174036,175.5633416,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Possums, Poultry, Red meat",,2023-06-14,,,
NZNL7/01,New Life Healthy Products Limited,"Unit 6,4 Rawiri Place,Hobsonville",Auckland,Auckland Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bee products, Deer Co-products, Deer Velvet, Fish, Non-AP, Red meat",,2023-12-11,,,
NZNPL15/01,NZ Natural Poultry limited,298 Whangarata Road,Tuakau,Auckland Council,,0.0,0.0,Risk Management Programme - Eggs,No,,Eggs,,2021-11-16,,,
NZNUTRIT3/01,New Zealand Nutritionals (2015) Limited,"17 Sheffield Crescent, Burnside",Christchurch,Christchurch City Council,,-43.4917866,172.5621652,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Colostrum products, Dairy material, Dairy products, Deer Velvet, Eggs, Fats/oils, Fish, Gelatine, Milk powders, Milk proteins, Nutritional powders excl IF & FOF, Poultry, Red meat, Speciality powders, Tallow",,2023-10-10,,,
NZPET169/01,New Zealand Petfoods Limited,"Pudjeck Road, Otipua",Timaru,Timaru District Council,,-44.4310097,171.1645642,Risk Management Programme - Custom,No,,"Alpacas/llamas, Bobby calves, Cattle, Farmed Deer, Farmed goats, Hides & Skins, Horses (includes mules, donkeys & hinnies), Red meat, Sheep, Wild chamois, Wild deer, Wild goats, Wild hares, Wild possums, Wild rabbits, Wild tahr, Wild wallabies",,2019-08-19,,,
NZPETFOOD2/01,Oceania Meat Processors Limited,203 Fraser Street,Timaru,Timaru District Council,,-44.3944268,171.258892,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Fish, Poultry, Red meat",,2023-10-02,,,
NZPETFOOD3/01,Oceania Meat Processors Limited,"7 Milward Street,Washdyke",Timaru,Timaru District Council,,-44.3493312,171.2504479,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Fish, Poultry, Red meat",,2025-08-08,,,
NZPURE1/01,Alpine Health Manufacturing New Zealand Limited,"189 Heaphy Road, RD 1",Dobson,Grey District Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bee products, Dairy products, Deer Co-products, Deer Velvet, Fish, Honey, Non-AP, Propolis, Red meat",,2022-05-11,,,
NZQBEE1/01,NZQUEENBEE Limited,"61A Fred Taylor Drive, Whenuapai",Auckland,Auckland Council,,0.0,0.0,"Risk Management Programme - Bee products - Honey and dried pollen processing, Custom",No,,"Bee products, Beeswax, Comb honey, Deer Velvet, Dried pollen, Honey, Propolis, Royal jelly",,2022-06-07,,,
NZR2D2/01,Medusco Group Limited,"13/339 Matakokiri Drive,Tauriko",Tauranga,Tauranga City Council,,-37.7634154,176.0966115,Risk Management Programme - Stores - Cold and Dry,No,,"Animal products (non-dairy), Non-AP",,2023-07-07,,,
NZRFL1/01,New Zealand Riverland Foods Limited,"14 Establishment Drive,Hornby",Christchurch,Christchurch City Council,,-43.5519761,172.5096329,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Eggs, Fish, Possums, Poultry, Red meat",,2023-12-18,,,
NZSERA01/01,NZ Seralogicals Limited,115 Kawakawa Road,Feilding,Manawatu District Council,,-40.2475601,175.5360308,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Blood",,2025-09-15,,,
NZSF1/01,NZ Sustainable Farming Limited,128 Durham Road,Waipu,Whanganui District Council,,-36.0408258,174.403003,"Risk Management Programme - Dairy - Liquid milk domestic supply, Farm dairies - Domestic supply",No,,"Dairy material, Dairy products, Milk & cream",,2020-06-26,Durham Farms,,
NZWB88/01,New Zealand Whitebait Limited,88 Clover Road East,Hope,Tasman District Council,,0.0,0.0,Risk Management Programme - Custom,No,,Eggs (roe),,2023-10-12,,,
NZWC02/01,New Zealand Wild Catch Limited,"27D Birmingham Drive, Middleton",Christchurch,Christchurch City Council,,-43.5448189,172.5922735,Risk Management Programme - Custom,No,,"Fish, Paua, Sea Cucumber, Squid & other cephalopods",,2019-10-18,,,
NZWLD888/01,NZ Wild Lobster Limited,"125 Great South Road,Otahuhu",Auckland,Auckland Council,,-36.9382417,174.8379895,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bivalve molluscan shellfish, Crustaceans (including rock lobsters), Farmed paua, Paua",,2024-12-23,,,
OA2/01,Okiwi Apiaries Limited,"32 Mabey Road, Okiwi",GREAT BARRIER ISLAND,Auckland Council,,-36.1524462,175.3969182,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Beeswax, Honey, Pollen",,2011-10-13,,,
OBEST1/01,Oceans Best Limited,"14 Brigham Creek Road, Whenuapai",Auckland,Auckland Council,,-36.7954023,174.6011684,Risk Management Programme - Custom,No,,"Bivalve molluscan shellfish, Crustaceans (including rock lobsters), Fish, Paua",,2023-08-02,,,
OBRIENAG01/01,O'Brien Agriculture Limited,"104 Te Papatapu Road, RD 2",Raglan,Waikato District Council,,0.0,0.0,"Risk Management Programme - Bee products - Bulk honey storage, Bee products - Honey and dried pollen processing",No,,"Bee products, Beeswax, Comb honey, Honey",,2022-02-01,,,
OCB1/01,Oceanbridge Shipping Limited,"38 Rennie Drive, Mangere",Auckland,Auckland Council,,-36.9793282,174.7799153,Risk Management Programme - Stores - Cold and Dry,No,,"Animal products (non-dairy), Bee products, Dairy products, Fats/oils, Non-AP, Other animal products",,2023-09-18,,,
OCDFARM09/01,Open Country Dairy Limited,"8 Business Parade South, East Tamaki",Auckland,Auckland Council,,-36.9372954,174.8759925,Risk Management Programme - Farm dairies - Export eligible milk,No,,Dairy material,,2021-02-09,,,
OCDM09/01,Open Country Dairy Limited,"52 Kekeno Place, Bluff Highway",AWARUA,Invercargill City Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Anhydrous milk fat, Dairy material, Dairy products, Milk & cream, Milk powders, Nutritional powders excl IF & FOF, Speciality powders",,2022-12-19,,,
OCDW09/01,Open Country Dairy Limited,"Imlay Place, Gonville",Wanganui,Whanganui District Council,,-39.9491192,175.0231505,Risk Management Programme - Custom,No,,"Dairy products, Milk powders, Nutritional powders excl IF & FOF, Speciality powders",,2023-07-12,,,
OD64/01,Sealord Group Limited,149 Vickerman Street,Nelson,Nelson City Council,,-41.2570391,173.2800057,Risk Management Programme - Custom,No,,"Crustaceans (including rock lobsters), Fish, Fish meal, Squid & other cephalopods",,2020-07-07,,,
OFEGG17/01,BT Enterprises Limited,99 Dickies Road,Leeston,Selwyn District Council,,-43.7257325,172.4080033,Risk Management Programme - Eggs,No,,Eggs,,2022-08-11,Old Fashion Egg Co,,
OFINZD1/01,Olam Food Ingredients New Zealand Limited,90-100 Browning Street,Tokoroa,South Waikato District Council,,-38.2356555,175.8806322,Risk Management Programme - Farm dairies - Export eligible milk,No,,"Colostrum, Dairy material",,2023-05-29,,,
OFINZP1/01,Olam Food Ingredients New Zealand Limited,90-100 Browning Street,Tokoroa,South Waikato District Council,,-38.2356555,175.8806322,Risk Management Programme - Custom,No,,"Dairy products, Milk powders, Nutritional powders excl IF & FOF",,2023-09-07,,,
OHA1/01,Lewis Allan Olsen,260 Ryburn Road,OHAUPO,Waipa District Council,,-37.9322222,175.2829205,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Beeswax, Comb honey, Honey, Pollen",,2016-05-12,,,
OHP1/01,Orini Honey Packers Limited,"1961 Orini Road, Whitikahu",Taupiri,Waikato District Council,,0.0,0.0,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Bee venom, Beeswax, Comb honey, Honey, Pollen, Propolis, Royal jelly",,2022-02-14,,,
OIKOS11/01,New Zealand Pure Dairy Products Limited,"Unit 3, 14 Canaveral Drive, Rosedale",Auckland,Auckland Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Colostrum products, Dairy products, Follow-on formula, Infant formula, Milk powders, Nutritional powders excl IF & FOF, Speciality powders",,2022-12-06,,,
OLLIFFARM1/01,Dean Olliff,438 Waitoki Road,Silverdale,Auckland Council,,0.0,0.0,Risk Management Programme - Eggs,No,,Eggs,,2021-11-18,Olliff Farm,,
OLSZEWSKI3/01,Olszewski Transport Limited,40 Dalefield Road,Carterton,Carterton District Council,,-41.0392972,175.501692,Risk Management Programme - Transport and Storage,No,,"Animal products (non-dairy), Non-AP",,2019-11-14,,,
OMAK1/01,CMA & SM Martin Limited,"529 Kamo Road,Kamo",Whangarei,Whangarei District Council,,-35.6830895,174.3005686,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Fish, Poultry, Red meat",,2018-05-10,Omak Meats,,
OMEGA1/01,Playing Paihamu Limited,5 Te Tahi Street,Whakatane,Whakatane District Council,,-37.9770298,176.9844504,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Possums, Red meat, Wild birds (ground-living), Wild deer, Wild goats, Wild hares, Wild possums, Wild rabbits, Wild wallabies",,2023-07-04,Omega Petfood,,
OMEGAPLUS1/01,The New Zealand King Salmon Co. Limited,"13-15 Bullen Street, Tahunanui",Nelson,Nelson City Council,,-41.2926698,173.2443511,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Fish oil, Non-AP, Poultry, Red meat",,2021-10-27,,,
ONUKU1/01,Onuku Limited,10 Gateway Crescent,Whakatane,Whakatane District Council,,-37.9525053,176.9669076,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,Bee products,,2016-09-09,,,
OPBUTCHER2/01,Opotiki Butchery (2005) Limited,"198A Kawerau Road, RD 2",Whakatane,Whakatane District Council,,0.0,0.0,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Red meat",,2019-04-01,Eastern Bay Homekills,,
OPEPE1/01,Opepe Farm Trust,827 State Highway 5,Taupo,Taupo District Council,,-38.7258701,176.1751228,"Risk Management Programme - Dairy Products, Farm dairies - Domestic supply",No,,"Dairy material, Dairy products, Milk & cream",,2023-12-08,,,
OPL01/01,Mainland Poultry Limited,8 Inverary Street,Waikouaiti,Dunedin City Council,,0.0,0.0,Risk Management Programme - Eggs,No,,Rearer laying chickens,,2023-11-27,Natural Chicken Company Limited,,
OPM001/01,Oceania Pharmaceuticals Manufacturing Limited,"Unit 5c,27 Smales Road,East Tamaki",Auckland,Auckland Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Deer Velvet, Eggs, Non-AP, Red meat",,2025-11-05,,,
OPUKEEGG5/01,J & E Robinson Limited,"94 Ledgerwoods Road,RD 6",Ashburton,Ashburton District Council,,0.0,0.0,Risk Management Programme - Eggs,No,,Eggs,,2024-10-22,Opuke Eggs,,
ORA01/01,Manukora Limited,30 Ema Street,Te Aroha,Matamata-Piako District Council,,-37.5392753,175.7081716,"Risk Management Programme - Bee products - Honey and dried pollen processing, Custom",No,,"Bee products, Honey, Non-AP",,2023-03-14,,,
ORAHONY21/01,Orakau Honey Limited,"453 Whitneys Road, RD 8",Waimate,Waimate District Council,,0.0,0.0,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Beeswax, Honey",,2022-05-27,,,
ORATA1/01,Orata Marine Limited,"521 Woodcocks Road, RD 1",Warkworth,Auckland Council,,0.0,0.0,Risk Management Programme - Custom,No,,Bivalve molluscan shellfish,,2014-10-29,,,
ORRPM1/01,Joshua and Ellie-May Adam,"290 Henley Road, RD 1",OUTRAM,Dunedin City Council,,0.0,0.0,Risk Management Programme - Eggs,No,,Eggs,,2021-11-12,Old Road Honey and Eggs,,
OTM12/01,Over The Moon Dairy Company Limited,33 Tirau Street,Putaruru,Hamilton City Council,,-38.0495293,175.7807329,Risk Management Programme - Farm dairies - Domestic supply,No,,Dairy material,,2019-04-04,,,
OWENGA8/01,Jason Dion Karaitiana,65 Whipp Place,STEWART ISLAND,Southland District Council,,-46.8985562,168.1206763,Risk Management Programme - Inshore vessels - Fish filleting,No,,Fish,,2011-05-06,,,
OYSTER1/01,Barnes Oysters Limited,Cnr Spey & Bond Streets,Invercargill,Invercargill City Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bivalve molluscan shellfish",,2015-08-24,,,
OYSTER15/01,Paroa Bay Oysters Limited,5323 State Highway 1,Kawakawa,Far North District Council,,-35.3938113,174.0707618,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Non-AP",,2021-08-03,,,
P0044/01,Russell Marsh & Trudie Marsh,"47 Ettrick Road, RD 2",Roxburgh,Central Otago District Council,,0.0,0.0,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Beeswax, Comb honey, Honey",,2021-01-26,Marsh's Honey,,
P073/01,Whitestone Cheese Limited,3 Torridge Street,Oamaru,Waitaki District Council,,-45.0933908,170.9763975,Risk Management Programme - Custom,No,,"Dairy fat blends, Dairy material, Dairy products, Firm and hard cheese (MSNF < 60%), Soft & semi-soft cheese (MSNF > 60%)",,2019-09-30,,,
